,age,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,income,net_capital
239,31,9,9,5,6,4,3,0,40,0,0
240,25,9,9,0,8,5,3,1,35,0,0
241,55,9,9,5,7,4,3,0,60,0,-2057
242,19,10,10,0,8,5,3,1,12,0,0
243,62,10,10,5,6,4,3,0,32,0,0
244,22,10,10,0,4,5,3,1,20,0,0
245,39,9,9,5,11,3,3,1,50,0,0
246,35,9,9,5,2,4,3,0,40,0,0
247,28,9,9,5,10,5,3,1,40,0,0
248,47,9,9,5,6,4,3,0,70,1,0
249,44,9,9,5,3,4,3,0,40,0,0
250,21,10,10,0,10,5,3,0,15,0,0
251,35,11,11,0,7,2,3,0,50,0,0
252,24,13,13,5,12,4,3,0,40,1,0
253,42,13,13,0,12,2,3,0,40,0,0
254,28,13,13,0,9,5,3,0,50,0,0
255,21,10,10,0,3,1,3,0,35,0,0
256,62,10,10,2,9,2,0,0,40,0,4650
257,39,9,9,0,8,2,0,1,40,0,0
258,30,9,9,0,8,2,3,0,40,0,0
259,72,8,15,0,12,2,3,0,20,0,-1429
260,50,10,10,5,11,3,3,1,50,0,0
261,28,14,14,0,12,2,3,0,40,0,0
262,29,10,10,0,12,2,3,1,40,0,0
263,26,13,13,0,4,5,3,1,40,0,0
264,27,14,14,0,11,2,3,1,40,0,0
265,29,10,10,5,2,4,3,0,40,1,3103
266,61,9,9,5,12,4,3,0,40,0,0
267,29,5,6,5,7,4,3,0,25,0,0
268,21,10,10,0,4,5,3,1,30,0,0
269,31,6,7,5,10,3,3,1,20,0,0
270,25,9,9,5,11,4,3,0,75,0,0
271,58,5,6,5,6,4,3,0,40,1,0
272,64,10,10,5,11,3,3,1,40,1,0
273,46,14,14,0,11,2,3,0,38,0,0
274,53,9,9,5,7,4,3,0,35,1,0
275,19,9,9,0,8,5,4,1,35,0,0
276,42,9,9,2,8,2,0,0,52,0,0
277,18,6,7,0,2,5,3,0,24,0,0
278,58,13,13,5,7,4,3,0,50,1,15024
279,20,10,10,0,1,2,0,0,60,0,0
280,35,9,9,5,7,4,3,0,40,1,0
281,32,9,9,5,2,4,3,0,38,1,0
282,23,9,9,0,2,2,3,1,25,0,0
283,31,10,10,2,9,0,3,1,40,0,0
284,33,13,13,5,10,4,0,0,55,0,0
285,41,10,10,0,3,2,3,1,48,0,0
286,22,9,9,0,3,5,0,0,40,0,0
287,46,10,10,5,1,4,3,0,40,1,0
288,61,10,10,5,6,4,0,0,40,0,0
289,30,9,9,0,11,2,0,0,40,0,0
290,42,9,9,5,11,4,3,0,55,1,0
291,63,5,6,5,2,4,3,0,40,0,0
292,26,10,10,5,10,4,3,0,40,0,0
293,42,5,6,2,4,0,3,1,40,0,0
294,23,10,10,5,8,4,3,0,40,0,0
295,25,9,9,0,3,0,3,0,40,0,-1590
296,30,4,5,5,8,4,3,0,32,1,0
297,23,9,9,0,10,5,3,0,40,0,0
298,34,11,11,0,5,2,3,0,60,1,27828
299,30,9,9,5,3,1,3,0,48,0,-2057
300,39,10,10,5,7,4,3,0,40,1,0
301,30,6,7,0,2,1,3,0,38,0,-1721
302,38,10,10,2,4,0,3,1,38,0,0
303,26,9,9,2,11,5,3,1,40,0,0
304,20,10,10,0,2,5,3,0,16,0,0
305,37,13,13,0,12,0,0,0,40,0,0
306,33,9,9,5,4,5,3,1,40,0,0
307,24,13,13,0,4,5,3,0,40,0,0
308,42,13,13,5,11,4,3,0,60,1,0
309,51,9,9,5,10,4,1,0,84,0,3103
310,56,12,12,5,9,4,3,0,45,1,0
311,22,10,10,0,2,5,3,0,40,0,0
312,52,10,10,5,5,4,3,0,60,0,0
313,44,13,13,2,11,0,3,1,45,1,4934
314,34,9,9,5,4,3,3,1,35,0,4064
315,51,10,10,2,7,2,3,0,42,1,0
316,20,10,10,0,12,2,3,0,40,0,0
317,19,10,10,0,10,2,3,1,25,0,0
318,37,13,13,5,11,4,3,0,40,1,0
319,68,9,9,5,3,4,0,0,40,1,0
320,22,10,10,2,1,2,3,0,40,0,0
321,56,13,13,5,11,4,3,0,40,0,0
322,37,9,9,5,7,4,3,0,40,0,0
323,52,1,2,5,3,4,3,0,40,0,0
324,26,9,9,3,2,5,3,0,40,0,0
325,33,14,14,5,12,4,3,0,50,0,0
326,45,14,14,2,12,0,3,1,42,0,0
327,18,6,7,0,8,5,3,0,15,0,0
328,43,10,10,5,5,4,3,0,60,1,0
329,64,15,16,5,12,4,3,0,50,1,15024
330,18,9,9,0,2,5,3,0,20,0,0
331,20,10,10,0,12,5,3,0,45,0,0
332,57,9,9,5,7,4,3,0,40,1,0
333,41,9,9,2,4,0,3,1,42,0,3674
334,34,14,14,5,11,4,3,0,50,1,-1887
335,19,9,9,0,10,0,3,1,40,0,0
336,44,4,5,2,8,0,3,1,55,0,0
337,56,5,6,1,8,0,3,1,40,0,0
338,36,9,9,5,5,4,3,0,80,0,0
339,48,13,13,2,11,0,3,1,48,0,0
340,29,9,9,5,6,4,3,0,40,1,0
341,33,13,13,0,7,2,3,0,40,0,2174
342,31,2,3,5,8,4,3,0,40,0,0
343,39,14,14,5,12,4,3,0,45,1,0
344,66,9,9,5,11,4,3,0,40,1,10605
345,27,13,13,0,12,2,3,1,50,1,0
346,39,9,9,2,11,0,0,1,40,1,99999
347,59,3,4,5,7,4,3,0,50,1,5178
348,26,9,9,0,8,5,3,1,40,0,0
349,31,11,11,2,7,0,3,0,40,0,0
350,45,9,9,1,12,0,3,1,40,0,0
351,23,9,9,0,2,5,3,0,30,0,0
352,36,9,9,2,4,0,3,1,40,0,0
353,34,10,10,5,8,3,3,1,12,1,0
354,32,9,9,5,6,4,3,0,84,1,0
355,37,13,13,5,12,4,0,0,50,1,0
356,33,13,13,0,10,2,3,0,45,0,0
357,50,8,15,5,12,4,3,0,80,1,99999
358,32,12,12,0,1,2,0,0,40,0,0
359,35,13,13,0,4,5,0,1,40,0,0
360,37,6,7,5,7,4,3,0,40,0,0
361,44,10,10,2,7,2,3,0,60,0,0
362,57,10,10,2,2,1,3,0,25,0,0
363,29,10,10,5,11,5,3,1,40,0,0
364,55,9,9,5,7,4,3,0,50,1,0
365,43,8,15,5,12,4,3,0,25,1,0
366,43,10,10,5,10,4,3,0,70,0,0
367,45,10,10,5,10,4,3,0,60,1,0
368,33,14,14,5,12,3,3,1,8,0,0
369,26,5,6,2,8,0,3,1,40,0,0
370,23,10,10,5,10,4,3,0,68,0,0
371,41,3,4,3,7,2,3,0,40,0,0
372,24,9,9,5,7,4,3,0,40,0,0
373,47,13,13,5,10,4,3,0,44,0,0
374,34,9,9,0,7,5,3,0,45,0,0
375,40,9,9,5,11,4,3,0,40,1,0
376,28,13,13,5,12,3,1,1,40,0,-1485
377,24,9,9,0,11,5,1,1,40,0,0
378,73,10,10,5,12,4,3,0,10,0,0
379,23,9,9,0,7,1,3,0,15,0,0
380,43,9,9,5,11,4,0,0,40,1,0
381,26,13,13,2,9,2,3,1,40,0,0
382,58,15,16,6,11,3,3,1,35,1,-1485
383,52,9,9,1,4,0,0,1,35,0,0
384,29,6,7,5,6,4,3,0,99,1,0
385,47,6,7,5,8,4,3,0,35,0,0
386,49,9,9,2,4,0,0,1,37,0,0
387,40,6,7,1,4,0,3,1,40,0,0
388,62,9,9,5,4,3,3,1,40,0,0
389,49,9,9,5,11,4,3,0,55,1,-1977
390,50,13,13,2,12,1,3,1,50,1,0
391,31,9,9,0,6,5,0,0,40,0,0
392,48,14,14,0,12,2,3,1,50,0,0
393,24,9,9,0,7,0,3,1,40,0,0
394,41,9,9,0,12,5,3,1,40,0,3418
395,37,9,9,3,3,5,1,0,60,0,0
396,45,13,13,5,11,4,1,0,45,1,0
397,63,9,9,5,10,4,3,0,16,0,0
398,36,14,14,5,11,4,1,0,45,0,0
399,45,13,13,5,11,4,3,0,40,0,0
400,41,13,13,0,10,2,3,1,40,0,0
401,26,12,12,0,9,1,3,1,20,0,0
402,17,6,7,0,10,5,3,1,25,0,0
403,27,9,9,5,8,4,3,0,36,0,0
404,43,9,9,5,3,4,3,0,65,0,0
405,35,9,9,0,6,5,3,0,55,0,0
406,38,13,13,2,4,0,3,1,40,0,0
407,26,9,9,0,3,2,3,0,40,0,0
408,28,10,10,0,11,5,3,1,40,0,0
409,38,13,13,5,12,3,3,1,24,1,0
410,36,6,7,2,6,0,3,1,40,0,0
411,33,9,9,5,4,3,3,1,40,1,0
412,19,9,9,0,2,5,3,0,70,0,1055
413,22,12,12,0,12,5,3,0,25,0,0
414,42,5,6,5,4,4,3,0,40,0,0
415,50,5,6,5,6,4,3,0,40,1,0
416,30,9,9,5,2,4,3,0,30,0,0
417,37,10,10,5,12,1,1,0,40,0,0
418,54,8,15,5,12,4,3,0,40,1,99999
419,52,13,13,0,11,2,3,0,40,0,0
420,65,1,2,5,2,4,2,0,40,0,0
421,33,9,9,2,7,2,3,1,40,0,0
422,25,10,10,0,9,1,3,0,40,0,0
423,24,13,13,0,10,2,3,0,45,0,0
424,26,11,11,3,4,0,0,1,40,0,114
425,39,9,9,3,4,2,3,0,40,1,0
426,59,9,9,2,8,2,3,1,40,0,0
427,29,10,10,0,4,0,3,1,40,0,0
428,47,6,7,0,8,5,3,1,45,0,0
429,23,10,10,0,4,5,3,1,35,0,0
430,64,9,9,5,6,4,3,0,50,0,0
431,21,9,9,0,8,5,2,0,20,0,0
432,32,10,10,5,4,3,0,1,40,1,0
433,26,9,9,0,11,2,0,1,37,0,0
434,19,10,10,0,4,5,0,1,20,0,0
435,62,14,14,5,12,4,3,0,40,0,0
436,32,13,13,5,7,4,3,0,55,1,0
437,75,5,6,4,4,2,3,1,5,0,0
438,45,9,9,5,11,4,3,0,60,0,0
439,31,13,13,5,11,4,3,0,50,1,-1887
440,32,9,9,5,4,4,3,0,40,0,2580
441,24,13,13,5,10,4,3,0,40,0,0
442,25,13,13,0,10,5,3,1,40,0,0
443,41,9,9,5,11,4,3,0,60,0,0
444,18,10,10,0,10,5,3,1,20,0,0
445,44,15,16,5,12,4,3,0,55,1,0
446,40,10,10,5,11,4,3,0,50,0,3411
447,27,13,13,0,12,2,3,0,40,0,0
448,23,13,13,0,4,5,3,0,40,0,0
449,21,10,10,0,4,2,2,0,40,0,2174
450,37,9,9,5,6,4,3,0,40,0,0
451,65,9,9,5,5,4,3,0,48,0,0
452,43,14,14,5,12,4,3,0,40,1,0
453,45,9,9,0,4,2,3,0,44,0,0
454,24,13,13,0,11,2,3,1,40,0,0
455,24,10,10,0,3,2,3,0,42,0,0
456,19,10,10,0,1,5,3,0,35,0,-1721
457,37,13,13,5,12,4,3,0,65,1,0
458,24,9,9,0,4,5,3,1,35,0,0
459,34,10,10,5,3,4,3,0,40,0,0
460,50,9,9,5,8,3,3,1,39,0,0
461,36,9,9,5,7,4,3,0,40,0,0
462,39,13,13,5,10,4,3,0,60,0,0
463,44,3,4,5,7,4,3,0,38,0,0
464,45,9,9,5,8,4,3,0,40,0,0
465,32,6,7,0,1,5,3,0,40,0,0
466,47,14,14,5,11,4,0,0,40,1,0
467,50,9,9,5,3,4,3,0,40,0,0
468,32,11,11,5,8,4,3,0,40,0,0
469,19,9,9,0,2,5,3,0,40,0,0
470,19,10,10,0,4,5,3,1,20,0,0
471,28,14,14,2,12,2,3,0,10,0,0
472,28,9,9,2,10,1,3,0,50,0,0
473,39,14,14,0,12,2,3,0,40,1,0
474,21,10,10,0,8,2,3,0,40,0,2907
475,73,10,10,1,5,2,3,1,75,0,0
476,39,3,4,5,8,4,3,0,40,0,4508
477,25,10,10,0,3,2,3,0,40,0,0
478,31,10,10,6,10,3,3,1,20,0,0
479,51,10,10,2,10,2,3,1,32,0,0
480,39,13,13,5,4,3,3,1,28,0,0
481,31,13,13,2,2,5,3,0,40,0,0
482,21,10,10,0,10,5,0,0,17,0,0
483,46,13,13,2,11,2,3,0,50,1,27828
484,73,9,9,2,11,2,3,1,35,0,0
485,41,9,9,2,7,2,3,0,40,0,0
486,20,9,9,0,6,5,3,0,40,0,0
487,27,12,12,0,8,2,3,0,30,0,0
488,24,13,13,0,12,2,3,0,35,0,0
489,20,10,10,5,7,4,3,0,40,0,0
490,39,11,11,0,3,5,3,0,40,0,0
491,27,13,13,0,2,2,3,0,28,0,0
492,33,6,7,5,10,4,3,0,60,0,0
493,33,9,9,5,2,4,4,0,40,0,0
494,36,4,5,5,7,4,0,0,40,0,0
495,55,10,10,5,11,4,3,0,36,0,0
496,19,10,10,0,3,5,3,0,40,0,0
497,35,9,9,0,11,2,3,0,60,0,0
498,34,2,3,0,3,1,1,0,40,0,0
499,62,8,15,2,12,2,3,1,35,0,0
500,33,10,10,5,7,4,3,0,40,1,0
501,39,4,5,5,7,4,3,0,55,0,4386
502,36,10,10,5,9,4,3,0,40,0,0
503,41,13,13,2,4,0,3,1,33,0,0
504,39,9,9,5,7,4,3,0,60,0,0
505,38,9,9,5,4,3,3,1,10,1,-1887
506,18,9,9,0,4,5,3,1,10,0,0
507,61,10,10,5,11,4,3,0,45,1,15024
508,20,11,11,0,4,5,3,1,36,0,0
509,35,9,9,5,6,4,3,0,65,1,0
510,27,9,9,0,3,5,3,0,40,0,0
511,66,5,6,1,8,0,3,1,38,0,0
512,21,9,9,0,6,1,0,0,40,0,0
513,20,10,10,0,8,5,3,1,18,0,0
514,34,10,10,2,4,5,3,0,40,0,0
515,63,2,3,0,0,2,3,1,50,0,0
516,20,9,9,0,7,0,3,0,40,0,0
517,31,9,9,3,9,2,3,1,40,0,0
518,41,15,16,5,12,4,3,0,60,0,-2051
519,64,1,2,5,5,4,2,0,45,0,0
520,32,13,13,0,11,2,3,1,40,0,0
521,30,9,9,5,6,4,3,0,50,1,0
522,36,13,13,5,5,4,3,0,72,0,0
523,22,10,10,0,5,5,3,0,12,0,0
524,53,10,10,5,11,4,3,0,50,0,0
525,50,9,9,1,4,2,4,1,40,0,0
526,36,13,13,5,11,4,3,0,40,0,0
527,41,6,7,5,11,4,3,0,40,0,0
528,55,13,13,0,11,2,3,1,35,0,0
529,38,13,13,5,10,4,3,0,50,1,15024
530,28,13,13,0,11,2,0,0,50,0,2174
531,24,13,13,0,12,5,3,1,37,0,0
532,60,10,10,2,4,1,3,1,40,0,0
533,54,5,6,5,8,4,0,0,40,0,0
534,27,9,9,5,7,4,3,0,60,0,0
535,30,14,14,5,12,3,3,1,30,0,0
536,54,9,9,1,6,2,3,0,45,0,0
537,44,10,10,5,7,4,3,0,40,1,5178
538,52,9,9,5,6,4,3,0,60,1,0
539,18,6,7,0,8,5,3,0,20,0,0
540,55,3,4,5,6,4,3,0,50,0,0
541,35,13,13,5,12,4,3,0,50,1,0
542,37,13,13,2,11,2,3,1,40,1,0
543,22,10,10,0,4,5,3,1,40,0,0
544,45,13,13,5,11,4,3,0,45,1,0
545,38,13,13,5,5,4,3,0,60,0,0
546,48,13,13,5,12,4,3,0,40,0,0
547,35,11,11,5,8,4,3,0,40,0,0
548,21,11,11,5,7,1,3,0,50,0,0
549,37,9,9,5,7,4,1,0,60,1,0
550,18,6,7,0,10,5,3,0,25,0,0
551,26,5,6,2,3,5,3,0,35,0,0
552,48,13,13,5,7,4,3,0,50,0,0
553,51,10,10,3,4,2,0,0,40,1,8614
554,52,10,10,5,7,4,3,0,40,0,0
555,32,13,13,5,5,4,3,0,40,1,0
556,39,13,13,5,8,4,3,0,60,0,0
557,51,13,13,5,12,4,3,0,40,1,0
558,54,13,13,5,10,4,3,0,50,0,0
559,21,10,10,0,12,2,3,1,25,0,0
560,43,9,9,3,4,0,0,1,40,0,0
561,32,10,10,0,4,5,3,1,40,0,0
562,31,14,14,5,12,4,3,0,35,1,0
563,73,9,9,5,12,4,3,0,8,0,0
564,26,10,10,0,4,1,1,0,60,0,0
565,35,9,9,0,7,2,3,0,40,0,0
566,73,2,3,5,11,4,3,0,54,1,0
567,25,13,13,0,10,2,3,1,40,0,0
568,58,11,11,5,5,4,3,0,65,0,-2377
569,32,9,9,3,8,5,3,1,37,0,0
570,28,13,13,5,12,4,3,0,40,0,0
571,41,14,14,0,10,2,3,1,30,0,0
572,53,9,9,5,7,4,3,0,48,0,0
573,49,9,9,3,4,0,3,1,35,0,0
574,55,13,13,5,12,4,3,0,40,1,0
